Subject,Bout,Behavior,Event_Start,Event_End,Duration (s),AUC,Max Peak,Time of Max Peak,Mean Z-score,Original End,Adjusted End,OG_AUC,OG_Max Peak,OG_Time of Max Peak,OG_Mean Z-score,OG_Original End,OG_Adjusted End
p5,s2-1,Investigation,1143.0,1145.9,2.900000000000091,6.247096019811587,1.7809369976949518,1145.6387252472255,0.8691289733180271,1145.9,1150.187251236255,2.2882159936708346,1.7809369976949518,1145.6387252472255,0.7893128418752254,1145.9,1145.9
p6,s1-1,Investigation,193.8,200.8,7.0,7.094569202857795,1.5505217451877231,193.80043388399133,1.2104606325624236,200.8,199.66131824677365,7.35623301514841,1.5505217451877231,193.80043388399133,1.0509649729353006,200.8,200.8
p6,s1-2,Investigation,389.1,398.9,9.799999999999955,4.208226339965153,0.9573087308952445,395.54776296904475,0.5113826887932051,398.9,397.3290314134194,4.560252427754448,0.9573087308952445,395.54776296904475,0.46533554686738177,398.9,398.9
p6,s1-3,Investigation,593.9,594.9,1.0,0.5155920411050526,0.5702772094693741,594.4147849117043,0.40059739634490726,594.9,595.1874543362509,0.45344566690263644,0.5702772094693741,594.4147849117043,0.45389014550592666,594.9,594.9
p6,s1-4,Investigation,787.2,789.3,2.099999999999909,3.0291095244227666,1.1254745570291727,789.8136418037271,0.8361330850627035,789.3,790.8232238635355,1.6705645646118756,0.9524493357981,788.5337237493255,0.7959884701906174,789.3,789.3
p6,s2-1,Investigation,1159.3,1160.5,1.2000000000000455,1.2463205446816197,0.6832057796911674,1160.770659664587,0.38840165626967443,1160.5,1162.5086743498266,0.4927399021289679,0.5092934961219654,1159.5064702498705,0.4109056694771445,1160.5,1160.5
p7,s1-2,Investigation,386.5,388.3,1.8000000000000114,1.8844223169282157,0.8903420100040654,390.07616243847673,0.30130774132524873,388.3,392.75199726496004,-0.6438429547930697,0.5029943419211154,388.29980919400384,-0.35794158513334323,388.3,388.3
p7,s1-4,Investigation,758.1,759.0,0.8999999999999773,4.692714011954806,2.294002332119483,758.4900558701988,1.8073527026526748,759.0,760.6969806260604,1.9867573364661566,2.294002332119483,758.4900558701988,2.211070547516036,759.0,759.0
p7,s1-5,Investigation,980.4,981.3,0.8999999999999773,0.37376817568442056,0.7241786374351542,980.4005179919897,0.533175396793476,981.3,981.1014254979715,0.40421527828916415,0.7241786374351542,980.4005179919897,0.4493504863659735,981.3,981.3
p7,s2-1,Investigation,1145.3,1149.9,4.600000000000136,5.816168835072417,1.54599184237934,1146.570647148587,1.1744696878053056,1149.9,1150.2521318749573,5.541557922576377,1.54599184237934,1146.570647148587,1.2049315589127434,1149.9,1149.9
p8,s1-1,Investigation,185.2,191.6,6.400000000000006,0.11581328066660942,0.7691789334515442,185.200800135984,0.4676329183310279,191.6,185.44852621102947,-2.746924834499163,0.7691789334515442,185.200800135984,-0.4291980200411839,191.6,191.6
p8,s1-2,Investigation,396.0,403.0,7.0,-8.190728094877855,0.06642674868582953,402.7219887455602,-1.205707447111665,403.0,402.793750664125,-8.20226392261458,0.06642674868582953,402.7219887455602,-1.1719700679349014,403.0,403.0
p8,s1-4,Investigation,752.9,756.4,3.5,0.5875122518351032,0.7398113103577727,753.149199657016,0.5806953985283682,756.4,753.9120386817592,-1.0182199313782143,0.7398113103577727,753.149199657016,-0.2910578920631202,756.4,756.4
p8,s1-5,Investigation,967.8,972.8,5.0,-2.817850772583925,0.2905633345256068,971.0360791392784,-0.7391638324795111,972.8,971.6131236077375,-2.9874885637162527,0.2905633345256068,971.0360791392784,-0.5977014253498909,972.8,972.8
pp1,s1-1,Investigation,190.5,193.1,2.5999999999999943,4.942871729641853,1.7844189883794803,194.01866875962662,0.9859947122398826,193.1,195.5128895297422,1.7823430493392676,1.5185078633376152,192.82525822349484,0.6858174551574583,193.1,193.1
pp1,s1-2,Investigation,389.9,390.6,0.7000000000000455,0.02166512114711236,0.11800909974529016,390.1803646763927,0.06301284200390221,390.6,390.2432792351344,-0.01073056882871401,0.11800909974529016,390.1803646763927,-0.01544578241558438,390.6,390.6
pp1,s1-3,Investigation,581.3,582.4,1.1000000000000227,0.07079554555842675,0.5796838009005261,581.3000485339991,0.3892123065015566,582.4,581.4819109303618,-0.36097347794555795,0.5796838009005261,581.3000485339991,-0.3282808103300637,582.4,582.4
pp1,s2-1,Investigation,1163.0,1179.8,16.799999999999955,4.512985217555558,1.9688893451199079,1164.1641136767178,1.6795690004699517,1179.8,1165.686842606263,-0.5239170474629429,1.9688893451199079,1164.1641136767178,-0.031188106704867918,1179.8,1179.8
pp2,s1-1,Investigation,194.8,200.0,5.199999999999989,2.6166301269028542,1.7387476888155964,195.57678712846425,1.2571386823860269,200.0,196.88128118237438,1.0507410983224004,1.7387476888155964,195.57678712846425,0.20206565455075517,200.0,200.0
pp2,s1-2,Investigation,392.1,392.7,0.5999999999999659,2.268177951535512,1.0157344746883459,394.18821867623564,0.6819606291702603,392.7,395.4258660114827,0.3153430082936735,0.6856507330220383,392.10024175799515,0.5259040147101189,392.7,392.7
pp2,s1-3,Investigation,577.5,579.7,2.2000000000000455,0.025840235754166472,0.15790409718671466,577.5123954897521,0.09701249635588605,579.7,577.7670028446599,-1.178125344379244,0.15790409718671466,577.5123954897521,-0.5357912586316036,579.7,579.7
pp2,s1-4,Investigation,773.5,775.0,1.5,6.652200714172032,1.0902086886708988,780.2191715956166,0.5538671897656895,775.0,785.5089097298218,-0.26689586799013965,0.31456455421378693,774.9992293000154,-0.17808876821907643,775.0,775.0
pp2,s2-1,Investigation,1162.5,1171.8,9.299999999999955,10.605269947306141,3.399390120261583,1164.7106839057863,1.8347970731265142,1171.8,1168.280102074398,11.707039795818899,3.399390120261583,1164.7106839057863,1.258833483358649,1171.8,1171.8
pp3,s1-1,Investigation,190.6,192.9,2.3000000000000114,12.015217620614925,1.5321625271165886,191.63479680730407,1.191348006931073,192.9,200.68564590628708,2.8834714309975453,1.5321625271165886,191.63479680730407,1.253923505195994,192.9,192.9
pp3,s1-2,Investigation,376.5,384.7,8.199999999999989,4.471440233703875,1.600587848022835,377.0400692591986,1.1529466558017631,384.7,380.3784730324305,3.750101310280039,1.600587848022835,377.0400692591986,0.4573497753217591,384.7,384.7
pp3,s1-3,Investigation,571.1,575.1,4.0,1.5073372554200861,0.7511165303017037,571.5030720899385,0.5267260421986466,575.1,573.961655080767,1.4781187929057769,0.7511165303017037,571.5030720899385,0.36957865311802296,575.1,575.1
pp3,s1-4,Investigation,755.7,756.9,1.1999999999999318,0.4906980432294117,0.8769926396741279,755.7001884059962,0.5437798507796516,756.9,756.6026191079476,0.5564116523172935,0.8769926396741279,755.7001884059962,0.46400023775154964,756.9,756.9
